scenario_id,n_total,lambda0,cens_prop,prev,hr_overall,rel,hr_pos,hr_neg,true_hr_mix,true_rmst6,true_rmst12,true_mile6,true_mile12,replications
48,300,0.0192540883488874,0.1,0.1,1.0,0.9,0.9,1.01111111111111,1.0,1.36362869902484e-05,0.0001003660755962,6.62815457286303e-06,2.37013429341681e-05,200
49,300,0.0192540883488874,0.1,0.3,0.7,0.7,0.49,0.79,0.7,0.0976505178473399,0.367081757726929,0.0315343388105985,0.0573998060821543,200
50,300,0.0192540883488874,0.1,0.3,0.7,0.8,0.56,0.76,0.7,0.0975180350318618,0.366079492292565,0.0314693340168287,0.0571585520200395,200
51,300,0.0192540883488874,0.1,0.3,0.7,0.9,0.63,0.73,0.7,0.0974386804504004,0.365480183370181,0.0314304200201806,0.0570144649667766,200
52,300,0.0192540883488874,0.1,0.3,0.8,0.7,0.56,0.902857142857143,0.8,0.0650018018993386,0.243985267351277,0.0209747559448301,0.0380909706873545,200
53,300,0.0192540883488874,0.1,0.3,0.8,0.8,0.64,0.868571428571429,0.8,0.0648301415778629,0.242696858055023,0.0208907557883459,0.0377825312969705,200
54,300,0.0192540883488874,0.1,0.3,0.8,0.9,0.72,0.834285714285714,0.8,0.0647273455424253,0.241926827179483,0.0208404871146214,0.0375984422273485,200
55,300,0.0192540883488874,0.1,0.3,0.9,0.7,0.63,1.01571428571429,0.9,0.0326105848471823,0.122803223744105,0.01054076713042,0.0192374478369304,200
56,300,0.0192540883488874,0.1,0.3,0.9,0.8,0.72,0.977142857142857,0.9,0.0323950568364468,0.121198296782115,0.0104355862985627,0.0188553375152918,200
57,300,0.0192540883488874,0.1,0.3,0.9,0.9,0.81,0.938571428571429,0.9,0.0322660228730962,0.120239568735235,0.0103726631539826,0.0186274328584717,200
58,300,0.0192540883488874,0.1,0.3,1.0,0.7,0.7,1.12857142857143,1.0,0.0004745114638149,0.0035010098668735,0.0002308356207022,0.0008281869609253,200
59,300,0.0192540883488874,0.1,0.3,1.0,0.8,0.8,1.08571428571429,1.0,0.0002105444048963,0.0015508248010167,0.0001023650395977,0.0003664228040859,200
60,300,0.0192540883488874,0.1,0.3,1.0,0.9,0.9,1.04285714285714,1.0,5.25492354785939e-05,0.0003864268446349,2.5534550787687e-05,9.11968825599851e-05,200
61,300,0.0192540883488874,0.1,0.5,0.7,0.7,0.49,0.91,0.7,0.0979662738687344,0.369454160346756,0.0316889056347736,0.057968160151063,200
62,300,0.0192540883488874,0.1,0.5,0.7,0.8,0.56,0.84,0.7,0.0976584897500308,0.367135634196357,0.0315381077982312,0.0574117087602938,200
63,300,0.0192540883488874,0.1,0.5,0.7,0.9,0.63,0.77,0.7,0.097473824076606,0.365744662067605,0.0314476330407162,0.0570778961390582,200
64,300,0.0192540883488874,0.1,0.5,0.8,0.7,0.56,1.04,0.8,0.065410528937436,0.247029040442776,0.021174224721246,0.0388156840734978,200
65,300,0.0192540883488874,0.1,0.5,0.8,0.8,0.64,0.96,0.8,0.0650119730446699,0.244052180527021,0.0209795223429212,0.0381054288068067,200
66,300,0.0192540883488874,0.1,0.5,0.8,0.9,0.72,0.88,0.8,0.0647728476156253,0.242266304842428,0.0208627075676894,0.0376793726913867,200
67,300,0.0192540883488874,0.1,0.5,0.9,0.7,0.63,1.17,0.9,0.0331232563644557,0.126587381058968,0.0107902011245887,0.0201328919099727,200
68,300,0.0192540883488874,0.1,0.5,0.9,0.8,0.72,1.08,0.9,0.0326231569383131,0.122883664169667,0.0105466053174257,0.0192544200274138,200
69,300,0.0192540883488874,0.1,0.5,0.9,0.9,0.81,0.99,0.9,0.0323231101438388,0.120661811600556,0.0104004583656963,0.0187274888005805,200
70,300,0.0192540883488874,0.1,0.5,1.0,0.7,0.7,1.3,1.0,0.0011017863422075,0.0080903255657958,0.0005350972747953,0.0019074425629692,200
71,300,0.0192540883488874,0.1,0.5,1.0,0.8,0.8,1.2,1.0,0.0004896666393419,0.0035952297820252,0.0002378077868311,0.0008475637148936,200
72,300,0.0192540883488874,0.1,0.5,1.0,0.9,0.9,1.1,1.0,0.0001224142329805,0.0008987368821919,5.94499631501044e-05,0.0002118626524517,200
73,300,0.0192540883488874,0.3,0.1,0.7,0.7,0.49,0.723333333333333,0.7,0.0974741560016081,0.365749662988549,0.0314478509933108,0.0570795130761399,200
74,300,0.0192540883488874,0.3,0.1,0.7,0.8,0.56,0.715555555555555,0.7,0.0974397253312187,0.365488563940261,0.031430943242681,0.0570165611352721,200
75,300,0.0192540883488874,0.3,0.1,0.7,0.9,0.63,0.707777777777778,0.7,0.0974191212707449,0.365332727010205,0.0314208343165187,0.0569790565340957,200
76,300,0.0192540883488874,0.3,0.1,0.8,0.7,0.56,0.826666666666667,0.8,0.0647733388414213,0.242273642878244,0.0208630294204412,0.0376817348644702,200
77,300,0.0192540883488874,0.3,0.1,0.8,0.8,0.64,0.817777777777778,0.8,0.064728711105043,0.241937773975138,0.0208411709164319,0.0376011784004064,200
78,300,0.0192540883488874,0.3,0.1,0.8,0.9,0.72,0.808888888888889,0.8,0.0647020149380735,0.241737461091773,0.0208281086118826,0.0375532345845322,200
79,300,0.0192540883488874,0.3,0.1,0.9,0.7,0.63,0.93,0.9,0.0323238035786524,0.120672082243722,0.0104009117165177,0.0187307804466006,200
80,300,0.0192540883488874,0.3,0.1,0.9,0.8,0.72,0.92,0.9,0.0322677520632402,0.120253420380415,0.0103735289965156,0.0186308921960289,200
81,300,0.0192540883488874,0.3,0.1,0.9,0.9,0.81,0.91,0.9,0.0322342348302529,0.120003916878737,0.0103571737951571,0.0185715036862932,200
82,300,0.0192540883488874,0.3,0.1,1.0,0.7,0.7,1.03333333333333,1.0,0.0001233573087064,0.0009125864628849,6.00651779336658e-05,0.0002162817188435,200
83,300,0.0192540883488874,0.3,0.1,1.0,0.8,0.8,1.02222222222222,1.0,5.46849814790917e-05,0.0004035195030915,2.66038579375127e-05,9.54614088470862e-05,200
84,300,0.0192540883488874,0.3,0.1,1.0,0.9,0.9,1.01111111111111,1.0,1.36362869902484e-05,0.0001003660755962,6.62815457286303e-06,2.37013429341681e-05,200
85,300,0.0192540883488874,0.3,0.3,0.7,0.7,0.49,0.79,0.7,0.0976505178473399,0.367081757726929,0.0315343388105985,0.0573998060821543,200
86,300,0.0192540883488874,0.3,0.3,0.7,0.8,0.56,0.76,0.7,0.0975180350318618,0.366079492292565,0.0314693340168287,0.0571585520200395,200
87,300,0.0192540883488874,0.3,0.3,0.7,0.9,0.63,0.73,0.7,0.0974386804504004,0.365480183370181,0.0314304200201806,0.0570144649667766,200
88,300,0.0192540883488874,0.3,0.3,0.8,0.7,0.56,0.902857142857143,0.8,0.0650018018993386,0.243985267351277,0.0209747559448301,0.0380909706873545,200
89,300,0.0192540883488874,0.3,0.3,0.8,0.8,0.64,0.868571428571429,0.8,0.0648301415778629,0.242696858055023,0.0208907557883459,0.0377825312969705,200
90,300,0.0192540883488874,0.3,0.3,0.8,0.9,0.72,0.834285714285714,0.8,0.0647273455424253,0.241926827179483,0.0208404871146214,0.0375984422273485,200
91,300,0.0192540883488874,0.3,0.3,0.9,0.7,0.63,1.01571428571429,0.9,0.0326105848471823,0.122803223744105,0.01054076713042,0.0192374478369304,200
92,300,0.0192540883488874,0.3,0.3,0.9,0.8,0.72,0.977142857142857,0.9,0.0323950568364468,0.121198296782115,0.0104355862985627,0.0188553375152918,200
93,300,0.0192540883488874,0.3,0.3,0.9,0.9,0.81,0.938571428571429,0.9,0.0322660228730962,0.120239568735235,0.0103726631539826,0.0186274328584717,200
94,300,0.0192540883488874,0.3,0.3,1.0,0.7,0.7,1.12857142857143,1.0,0.0004745114638149,0.0035010098668735,0.0002308356207022,0.0008281869609253,200
95,300,0.0192540883488874,0.3,0.3,1.0,0.8,0.8,1.08571428571429,1.0,0.0002105444048963,0.0015508248010167,0.0001023650395977,0.0003664228040859,200
96,300,0.0192540883488874,0.3,0.3,1.0,0.9,0.9,1.04285714285714,1.0,5.25492354785939e-05,0.0003864268446349,2.5534550787687e-05,9.11968825599851e-05,200
97,300,0.0192540883488874,0.3,0.5,0.7,0.7,0.49,0.91,0.7,0.0979662738687344,0.369454160346756,0.0316889056347736,0.057968160151063,200
98,300,0.0192540883488874,0.3,0.5,0.7,0.8,0.56,0.84,0.7,0.0976584897500308,0.367135634196357,0.0315381077982312,0.0574117087602938,200
99,300,0.0192540883488874,0.3,0.5,0.7,0.9,0.63,0.77,0.7,0.097473824076606,0.365744662067605,0.0314476330407162,0.0570778961390582,200
100,300,0.0192540883488874,0.3,0.5,0.8,0.7,0.56,1.04,0.8,0.065410528937436,0.247029040442776,0.021174224721246,0.0388156840734978,200
101,300,0.0192540883488874,0.3,0.5,0.8,0.8,0.64,0.96,0.8,0.0650119730446699,0.244052180527021,0.0209795223429212,0.0381054288068067,200
102,300,0.0192540883488874,0.3,0.5,0.8,0.9,0.72,0.88,0.8,0.0647728476156253,0.242266304842428,0.0208627075676894,0.0376793726913867,200
103,300,0.0192540883488874,0.3,0.5,0.9,0.7,0.63,1.17,0.9,0.0331232563644557,0.126587381058968,0.0107902011245887,0.0201328919099727,200
104,300,0.0192540883488874,0.3,0.5,0.9,0.8,0.72,1.08,0.9,0.0326231569383131,0.122883664169667,0.0105466053174257,0.0192544200274138,200
105,300,0.0192540883488874,0.3,0.5,0.9,0.9,0.81,0.99,0.9,0.0323231101438388,0.120661811600556,0.0104004583656963,0.0187274888005805,200
106,300,0.0192540883488874,0.3,0.5,1.0,0.7,0.7,1.3,1.0,0.0011017863422075,0.0080903255657958,0.0005350972747953,0.0019074425629692,200
107,300,0.0192540883488874,0.3,0.5,1.0,0.8,0.8,1.2,1.0,0.0004896666393419,0.0035952297820252,0.0002378077868311,0.0008475637148936,200
